"2019-08-24 04:48:18,495 - hetero_ne_arbiter.py[line:127] - INFO: guest gradients number: 256"
"2019-08-24 04:48:18,516 - hetero_ne_arbiter.py[line:138] - INFO: Remote host_optim_gradient to Host"
"2019-08-24 04:48:18,550 - hetero_ne_arbiter.py[line:149] - INFO: Remote guest_optim_gradient to Guest"
"2019-08-24 04:48:18,853 - hetero_ne_arbiter.py[line:164] - INFO: Get loss from guest: 2.1053753909270956"
"2019-08-24 04:48:18,853 - hetero_ne_arbiter.py[line:93] - INFO: batch: 10"
"2019-08-24 04:48:29,092 - hetero_ne_arbiter.py[line:101] - INFO: Get host_gradient from GUEST"
"2019-08-24 04:48:29,897 - hetero_ne_arbiter.py[line:108] - INFO: Get guest_gradient from GUEST"
"2019-08-24 04:48:30,060 - hetero_ne_arbiter.py[line:126] - INFO: host gradients number: 256"
"2019-08-24 04:48:30,061 - hetero_ne_arbiter.py[line:127] - INFO: guest gradients number: 256"
"2019-08-24 04:48:30,076 - hetero_ne_arbiter.py[line:138] - INFO: Remote host_optim_gradient to Host"
"2019-08-24 04:48:30,093 - hetero_ne_arbiter.py[line:149] - INFO: Remote guest_optim_gradient to Guest"
"2019-08-24 04:48:30,664 - hetero_ne_arbiter.py[line:164] - INFO: Get loss from guest: 2.2706189901111125"
"2019-08-24 04:48:30,664 - hetero_ne_arbiter.py[line:93] - INFO: batch: 11"
"2019-08-24 04:48:40,604 - hetero_ne_arbiter.py[line:101] - INFO: Get host_gradient from GUEST"
"2019-08-24 04:48:41,409 - hetero_ne_arbiter.py[line:108] - INFO: Get guest_gradient from GUEST"
"2019-08-24 04:48:41,565 - hetero_ne_arbiter.py[line:126] - INFO: host gradients number: 256"
"2019-08-24 04:48:41,567 - hetero_ne_arbiter.py[line:127] - INFO: guest gradients number: 256"
"2019-08-24 04:48:41,581 - hetero_ne_arbiter.py[line:138] - INFO: Remote host_optim_gradient to Host"
"2019-08-24 04:48:41,598 - hetero_ne_arbiter.py[line:149] - INFO: Remote guest_optim_gradient to Guest"
"2019-08-24 04:48:42,202 - hetero_ne_arbiter.py[line:164] - INFO: Get loss from guest: 2.353739202485525"
"2019-08-24 04:48:42,202 - hetero_ne_arbiter.py[line:93] - INFO: batch: 12"
"2019-08-24 04:48:52,141 - hetero_ne_arbiter.py[line:101] - INFO: Get host_gradient from GUEST"
"2019-08-24 04:48:52,845 - hetero_ne_arbiter.py[line:108] - INFO: Get guest_gradient from GUEST"
"2019-08-24 04:48:53,004 - hetero_ne_arbiter.py[line:126] - INFO: host gradients number: 256"
"2019-08-24 04:48:53,004 - hetero_ne_arbiter.py[line:127] - INFO: guest gradients number: 256"
"2019-08-24 04:48:53,020 - hetero_ne_arbiter.py[line:138] - INFO: Remote host_optim_gradient to Host"
"2019-08-24 04:48:53,036 - hetero_ne_arbiter.py[line:149] - INFO: Remote guest_optim_gradient to Guest"
"2019-08-24 04:48:53,640 - hetero_ne_arbiter.py[line:164] - INFO: Get loss from guest: 2.207352046631925"
"2019-08-24 04:48:53,640 - hetero_ne_arbiter.py[line:93] - INFO: batch: 13"
"2019-08-24 04:49:04,179 - hetero_ne_arbiter.py[line:101] - INFO: Get host_gradient from GUEST"
